follower_id,link,followee_id
ohhfascinating,https://www.threads.net/@j.yeon_0604,j.yeon_0604
ohhfascinating,https://www.threads.net/@arbolbajo,arbolbajo
ohhfascinating,https://www.threads.net/@han.fill_grim,han.fill_grim
ohhfascinating,https://www.threads.net/@aspiring_future_pmhnp,aspiring_future_pmhnp
ohhfascinating,https://www.threads.net/@nakhwa0613_writer,nakhwa0613_writer
ohhfascinating,https://www.threads.net/@im5838,im5838
ohhfascinating,https://www.threads.net/@jieuns04,jieuns04
ohhfascinating,https://www.threads.net/@wishandwind,wishandwind
ohhfascinating,https://www.threads.net/@ortho_hg,ortho_hg
ohhfascinating,https://www.threads.net/@hyhyhy._.000,hyhyhy._.000
ohhfascinating,https://www.threads.net/@jinseung_5_friends,jinseung_5_friends
ohhfascinating,https://www.threads.net/@asyouare0529,asyouare0529
ohhfascinating,https://www.threads.net/@psyclinic_withallmyheart,psyclinic_withallmyheart
ohhfascinating,https://www.threads.net/@stepuplab_official,stepuplab_official
comfort._y,https://www.threads.net/@modoo.garden,modoo.garden
comfort._y,https://www.threads.net/@stoic_.cherry,stoic_.cherry
comfort._y,https://www.threads.net/@siss_cherry,siss_cherry
comfort._y,https://www.threads.net/@revee.u1,revee.u1
comfort._y,https://www.threads.net/@naon_409,naon_409
comfort._y,https://www.threads.net/@h_neoul_,h_neoul_
comfort._y,https://www.threads.net/@fox6.09,fox6.09
comfort._y,https://www.threads.net/@kyeji_cherry,kyeji_cherry
comfort._y,https://www.threads.net/@cherry_814_sarang.ha,cherry_814_sarang.ha
comfort._y,https://www.threads.net/@han.eul_0,han.eul_0
comfort._y,https://www.threads.net/@comfort_jiwoo,comfort_jiwoo
comfort._y,https://www.threads.net/@cholichoko_cherry,cholichoko_cherry
comfort._y,https://www.threads.net/@comfort_jafu,comfort_jafu
comfort._y,https://www.threads.net/@cherish_siho,cherish_siho
comfort._y,https://www.threads.net/@harin_cherry,harin_cherry
comfort._y,https://www.threads.net/@cherry_north_star_05_,cherry_north_star_05_
comfort._y,https://www.threads.net/@cherry_180428,cherry_180428
comfort._y,https://www.threads.net/@cherry_irin814,cherry_irin814
comfort._y,https://www.threads.net/@cherry_suring,cherry_suring
comfort._y,https://www.threads.net/@hhh_._.162,hhh_._.162
j.yeon_0604,https://www.threads.net/@blueberryny,blueberryny
j.yeon_0604,https://www.threads.net/@_therearenothing,_therearenothing
j.yeon_0604,https://www.threads.net/@ohhfascinating,ohhfascinating
j.yeon_0604,https://www.threads.net/@smyeongcan,smyeongcan
j.yeon_0604,https://www.threads.net/@jiyumin0618,jiyumin0618
j.yeon_0604,https://www.threads.net/@010_ddte,010_ddte
j.yeon_0604,https://www.threads.net/@psyapple_personal,psyapple_personal
j.yeon_0604,https://www.threads.net/@victoria_eunhye,victoria_eunhye
j.yeon_0604,https://www.threads.net/@_fingermind,_fingermind
j.yeon_0604,https://www.threads.net/@purang2eunchan,purang2eunchan
j.yeon_0604,https://www.threads.net/@jeongseungmojeong,jeongseungmojeong
j.yeon_0604,https://www.threads.net/@annie_happylife,annie_happylife
j.yeon_0604,https://www.threads.net/@uni._.corn05,uni._.corn05
j.yeon_0604,https://www.threads.net/@lavi_daloca_,lavi_daloca_
j.yeon_0604,https://www.threads.net/@ram.story89,ram.story89
j.yeon_0604,https://www.threads.net/@jinahoho,jinahoho
j.yeon_0604,https://www.threads.net/@botir982009,botir982009
j.yeon_0604,https://www.threads.net/@k_cyber1388,k_cyber1388
j.yeon_0604,https://www.threads.net/@rays.of_mercy,rays.of_mercy
j.yeon_0604,https://www.threads.net/@grimchoikpro,grimchoikpro
jyouthlee,https://www.threads.net/@gang_2_choi,gang_2_choi
jyouthlee,https://www.threads.net/@doraemong_10,doraemong_10
jyouthlee,https://www.threads.net/@zsxdcfvg______,zsxdcfvg______
jyouthlee,https://www.threads.net/@blackdogtoon_yull,blackdogtoon_yull
jyouthlee,https://www.threads.net/@jjjeongman,jjjeongman
jyouthlee,https://www.threads.net/@y.hs91,y.hs91
jyouthlee,https://www.threads.net/@spring_spring_bom,spring_spring_bom
jyouthlee,https://www.threads.net/@healer_raphael,healer_raphael
jyouthlee,https://www.threads.net/@mind_girok,mind_girok
jyouthlee,https://www.threads.net/@ifyouwereame,ifyouwereame
jyouthlee,https://www.threads.net/@sun_flower4765,sun_flower4765
jyouthlee,https://www.threads.net/@cloche_jewelry2,cloche_jewelry2
jyouthlee,https://www.threads.net/@boky0821,boky0821
jyouthlee,https://www.threads.net/@pig_general,pig_general
jyouthlee,https://www.threads.net/@happy_d315,happy_d315
jyouthlee,https://www.threads.net/@yrnarcisuss,yrnarcisuss
jyouthlee,https://www.threads.net/@2tothesn,2tothesn
jyouthlee,https://www.threads.net/@kim.taewan_,kim.taewan_
jyouthlee,https://www.threads.net/@icarus_1558_,icarus_1558_
jyouthlee,https://www.threads.net/@star.108.3,star.108.3
ibfci,https://www.threads.net/@whatf.alii,whatf.alii
ibfci,https://www.threads.net/@ye.xeu2,ye.xeu2
ibfci,https://www.threads.net/@just_that_weirdo_girl,just_that_weirdo_girl
ibfci,https://www.threads.net/@washing_machine1121,washing_machine1121
